2024-03-18 14:07:40.329 | INFO | train_model:125 | Creating dataloaders
2024-03-18 14:07:40.335 | INFO | train_model:151 | Splitting training data into a 90%-10% train/val split
2024-03-18 14:07:40.477 | INFO | train_model:279 | Starting training
2024-03-18 14:07:40.603 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.00748
2024-03-18 14:07:42.937 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.00364
2024-03-18 14:07:42.945 | INFO | trainer:203 | Epoch: 0 | Training loss: 0.00417
2024-03-18 14:07:45.363 | INFO | trainer:219 | Epoch: 1 | Validation loss: 0.00327
2024-03-18 14:07:45.367 | INFO | trainer:203 | Epoch: 1 | Training loss: 0.00361
2024-03-18 14:07:47.794 | INFO | trainer:219 | Epoch: 2 | Validation loss: 0.00316
2024-03-18 14:07:47.798 | INFO | trainer:203 | Epoch: 2 | Training loss: 0.00345
2024-03-18 14:07:50.258 | INFO | trainer:219 | Epoch: 3 | Validation loss: 0.00305
2024-03-18 14:07:50.262 | INFO | trainer:203 | Epoch: 3 | Training loss: 0.00337
2024-03-18 14:07:52.765 | INFO | trainer:219 | Epoch: 4 | Validation loss: 0.0033
2024-03-18 14:07:52.769 | INFO | trainer:203 | Epoch: 4 | Training loss: 0.00335
2024-03-18 14:07:55.261 | INFO | trainer:219 | Epoch: 5 | Validation loss: 0.00302
2024-03-18 14:07:55.265 | INFO | trainer:203 | Epoch: 5 | Training loss: 0.00325
2024-03-18 14:07:57.760 | INFO | trainer:219 | Epoch: 6 | Validation loss: 0.00299
2024-03-18 14:07:57.764 | INFO | trainer:203 | Epoch: 6 | Training loss: 0.00327
2024-03-18 14:08:00.269 | INFO | trainer:219 | Epoch: 7 | Validation loss: 0.00297
2024-03-18 14:08:00.273 | INFO | trainer:203 | Epoch: 7 | Training loss: 0.00319
2024-03-18 14:08:02.746 | INFO | trainer:219 | Epoch: 8 | Validation loss: 0.00295
2024-03-18 14:08:02.750 | INFO | trainer:203 | Epoch: 8 | Training loss: 0.00319
2024-03-18 14:08:05.247 | INFO | trainer:219 | Epoch: 9 | Validation loss: 0.00306
