2024-03-18 13:59:57.859 | INFO | train_model:125 | Creating dataloaders
2024-03-18 13:59:57.864 | INFO | train_model:151 | Splitting training data into a 90%-10% train/val split
2024-03-18 13:59:57.962 | INFO | train_model:279 | Starting training
2024-03-18 13:59:58.032 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.00503
2024-03-18 13:59:59.996 | INFO | trainer:219 | Epoch: 0 | Validation loss: 0.00357
2024-03-18 14:00:00.000 | INFO | trainer:203 | Epoch: 0 | Training loss: 0.00399
2024-03-18 14:00:02.139 | INFO | trainer:219 | Epoch: 1 | Validation loss: 0.00346
2024-03-18 14:00:02.145 | INFO | trainer:203 | Epoch: 1 | Training loss: 0.00352
2024-03-18 14:00:04.368 | INFO | trainer:219 | Epoch: 2 | Validation loss: 0.00317
2024-03-18 14:00:04.371 | INFO | trainer:203 | Epoch: 2 | Training loss: 0.00338
2024-03-18 14:00:06.586 | INFO | trainer:219 | Epoch: 3 | Validation loss: 0.00341
2024-03-18 14:00:06.590 | INFO | trainer:203 | Epoch: 3 | Training loss: 0.00333
2024-03-18 14:00:08.680 | INFO | trainer:219 | Epoch: 4 | Validation loss: 0.00319
2024-03-18 14:00:08.684 | INFO | trainer:203 | Epoch: 4 | Training loss: 0.00324
2024-03-18 14:00:11.044 | INFO | trainer:219 | Epoch: 5 | Validation loss: 0.0031
2024-03-18 14:00:11.047 | INFO | trainer:203 | Epoch: 5 | Training loss: 0.0032
2024-03-18 14:00:13.176 | INFO | trainer:219 | Epoch: 6 | Validation loss: 0.00313
2024-03-18 14:00:13.179 | INFO | trainer:203 | Epoch: 6 | Training loss: 0.00317
2024-03-18 14:00:15.278 | INFO | trainer:219 | Epoch: 7 | Validation loss: 0.00301
2024-03-18 14:00:15.282 | INFO | trainer:203 | Epoch: 7 | Training loss: 0.00311
2024-03-18 14:00:17.400 | INFO | trainer:219 | Epoch: 8 | Validation loss: 0.00303
2024-03-18 14:00:17.405 | INFO | trainer:203 | Epoch: 8 | Training loss: 0.00311
2024-03-18 14:00:19.787 | INFO | trainer:219 | Epoch: 9 | Validation loss: 0.00299
2024-03-18 14:00:19.791 | INFO | trainer:203 | Epoch: 9 | Training loss: 0.00311
2024-03-18 14:00:21.904 | INFO | trainer:219 | Epoch: 10 | Validation loss: 0.00309
2024-03-18 14:00:21.909 | INFO | trainer:203 | Epoch: 10 | Training loss: 0.00308
2024-03-18 14:00:23.981 | INFO | trainer:219 | Epoch: 11 | Validation loss: 0.0033
2024-03-18 14:00:23.985 | INFO | trainer:203 | Epoch: 11 | Training loss: 0.00308
2024-03-18 14:00:26.078 | INFO | trainer:219 | Epoch: 12 | Validation loss: 0.00307
2024-03-18 14:00:26.083 | INFO | trainer:203 | Epoch: 12 | Training loss: 0.00305
2024-03-18 14:00:28.373 | INFO | trainer:219 | Epoch: 13 | Validation loss: 0.00304
2024-03-18 14:00:28.377 | INFO | trainer:203 | Epoch: 13 | Training loss: 0.00301
2024-03-18 14:00:30.480 | INFO | trainer:219 | Epoch: 14 | Validation loss: 0.00295
2024-03-18 14:00:30.485 | INFO | trainer:203 | Epoch: 14 | Training loss: 0.00302
2024-03-18 14:00:32.616 | INFO | trainer:219 | Epoch: 15 | Validation loss: 0.00298
2024-03-18 14:00:32.620 | INFO | trainer:203 | Epoch: 15 | Training loss: 0.003
2024-03-18 14:00:34.973 | INFO | trainer:219 | Epoch: 16 | Validation loss: 0.003
2024-03-18 14:00:34.977 | INFO | trainer:203 | Epoch: 16 | Training loss: 0.00297
2024-03-18 14:00:37.049 | INFO | trainer:219 | Epoch: 17 | Validation loss: 0.00308
2024-03-18 14:00:37.053 | INFO | trainer:203 | Epoch: 17 | Training loss: 0.00297
2024-03-18 14:00:39.230 | INFO | trainer:219 | Epoch: 18 | Validation loss: 0.00293
2024-03-18 14:00:39.234 | INFO | trainer:203 | Epoch: 18 | Training loss: 0.00297
2024-03-18 14:00:41.338 | INFO | trainer:219 | Epoch: 19 | Validation loss: 0.00302
2024-03-18 14:00:41.341 | INFO | trainer:203 | Epoch: 19 | Training loss: 0.00296
2024-03-18 14:00:43.625 | INFO | trainer:219 | Epoch: 20 | Validation loss: 0.00304
2024-03-18 14:00:43.629 | INFO | trainer:203 | Epoch: 20 | Training loss: 0.00293
2024-03-18 14:00:45.751 | INFO | trainer:219 | Epoch: 21 | Validation loss: 0.00291
2024-03-18 14:00:45.756 | INFO | trainer:203 | Epoch: 21 | Training loss: 0.00292
2024-03-18 14:00:47.913 | INFO | trainer:219 | Epoch: 22 | Validation loss: 0.00289
2024-03-18 14:00:47.917 | INFO | trainer:203 | Epoch: 22 | Training loss: 0.00293
2024-03-18 14:00:50.272 | INFO | trainer:219 | Epoch: 23 | Validation loss: 0.0029
2024-03-18 14:00:50.275 | INFO | trainer:203 | Epoch: 23 | Training loss: 0.0029
2024-03-18 14:00:52.366 | INFO | trainer:219 | Epoch: 24 | Validation loss: 0.00308
2024-03-18 14:00:52.371 | INFO | trainer:203 | Epoch: 24 | Training loss: 0.0029
2024-03-18 14:00:54.522 | INFO | trainer:219 | Epoch: 25 | Validation loss: 0.00291
2024-03-18 14:00:54.527 | INFO | trainer:203 | Epoch: 25 | Training loss: 0.00292
2024-03-18 14:00:56.498 | INFO | trainer:219 | Epoch: 26 | Validation loss: 0.00298
