2024-03-18 20:19:36.510 | INFO | train_model:125 | Creating dataloaders
2024-03-18 20:19:36.511 | INFO | train_model:151 | Splitting training data into a 80%-20% train/val split
2024-03-18 20:19:36.592 | INFO | train_model:279 | Starting pre_training
2024-03-18 20:19:36.759 | INFO | trainer:219 | Epoch: 0 | Validation loss: 7.62e-05
2024-03-18 20:19:37.265 | INFO | trainer:219 | Epoch: 0 | Validation loss: 6.83e-05
2024-03-18 20:19:37.271 | INFO | trainer:203 | Epoch: 0 | Training loss: 5.2e-05
2024-03-18 20:19:37.586 | INFO | trainer:219 | Epoch: 1 | Validation loss: 6.21e-05
2024-03-18 20:19:37.590 | INFO | trainer:203 | Epoch: 1 | Training loss: 4.24e-05
2024-03-18 20:19:38.001 | INFO | trainer:219 | Epoch: 2 | Validation loss: 5.34e-05
2024-03-18 20:19:38.007 | INFO | trainer:203 | Epoch: 2 | Training loss: 3.89e-05
2024-03-18 20:19:38.517 | INFO | trainer:219 | Epoch: 3 | Validation loss: 4.78e-05
2024-03-18 20:19:38.522 | INFO | trainer:203 | Epoch: 3 | Training loss: 3.47e-05
2024-03-18 20:19:39.014 | INFO | trainer:219 | Epoch: 4 | Validation loss: 4.34e-05
2024-03-18 20:19:39.018 | INFO | trainer:203 | Epoch: 4 | Training loss: 3.16e-05
2024-03-18 20:19:39.371 | INFO | trainer:219 | Epoch: 5 | Validation loss: 4.02e-05
2024-03-18 20:19:39.375 | INFO | trainer:203 | Epoch: 5 | Training loss: 2.92e-05
2024-03-18 20:19:39.815 | INFO | trainer:219 | Epoch: 6 | Validation loss: 3.77e-05
2024-03-18 20:19:39.820 | INFO | trainer:203 | Epoch: 6 | Training loss: 2.74e-05
2024-03-18 20:19:40.326 | INFO | trainer:219 | Epoch: 7 | Validation loss: 3.58e-05
2024-03-18 20:19:40.333 | INFO | trainer:203 | Epoch: 7 | Training loss: 2.59e-05
2024-03-18 20:19:40.810 | INFO | trainer:219 | Epoch: 8 | Validation loss: 3.42e-05
